Cu,Ni,Al,r,del_r,del_EN,S,VEC,resistivity
0.95,0.05,0.0,1.35,0.0,0.0021794494717703,1.6504557331775846,10.95,97.24366
0.95,0.0,0.05,1.345,0.0217944947177033,0.0632040346813397,1.6504557331775846,10.6,88.85095
0.0,0.95,0.05,1.345,0.0217944947177033,0.06538348415311,1.6504557331775846,9.65,75.83527
0.05,0.95,0.0,1.35,0.0,0.0021794494717703,1.6504557331775846,10.05,86.28002
0.05,0.0,0.95,1.255,0.0217944947177033,0.0632040346813397,1.6504557331775846,3.3999999999999995,552.32983
0.0,0.05,0.95,1.255,0.0217944947177033,0.06538348415311,1.6504557331775846,3.35,551.49426
0.33,0.33,0.33,1.3035,0.0486993583119942,0.1395891843947803,9.12524684966995,7.920000000000001,143.16745
0.95,0.025,0.025,1.3475,0.015612494995996,0.0453431361950185,1.9385970161363544,10.775,89.36993
0.475,0.5,0.025,1.3475,0.015612494995996,0.0463404520910186,6.5880535257641775,10.3,46.3439
0.5,0.5,0.0,1.35,0.0,0.005,5.762825659175385,10.5,94.59844
0.5,0.025,0.475,1.3025,0.0499374608885954,0.14506464076404,6.5880535257641775,7.175,276.24173
0.475,0.05,0.475,1.3025,0.0499374608885954,0.1453097983619823,7.125140109394201,7.15,263.92807
0.64,0.19,0.165,1.32675,0.0376909762078405,0.1088989163743147,7.469807188478533,9.435,113.06733
0.475,0.475,0.05,1.345,0.0217944947177033,0.0644781939883554,7.1251401093942,10.125,36.47338
0.5,0.475,0.025,1.3475,0.015612494995996,0.0463006479436303,6.5880535257641775,10.325,45.968174
0.5,0.0,0.5,1.3,0.05,0.1449999999999999,5.762825659175385,7.0,323.85495
0.475,0.025,0.5,1.3,0.05,0.1452581753293079,6.5880535257641775,6.975,288.33646
0.64,0.165,0.19,1.32425,0.0397648989373794,0.1149305615904663,7.469807188478534,9.26,120.9826
0.0,0.5,0.5,1.3,0.05,0.1499999999999999,5.762825659175385,6.5,340.2308
0.165,0.64,0.19,1.32425,0.0397648989373794,0.1172374675605029,7.469807188478534,8.785,117.77021
0.05,0.475,0.475,1.3025,0.0499374608885954,0.1493519333654572,7.125140109394201,6.725,286.26474
0.19,0.64,0.165,1.32675,0.0376909762078405,0.1109038682260451,7.469807188478533,8.985,110.91045
0.025,0.025,0.95,1.255,0.0217944947177033,0.0643034796881163,1.938597016136354,3.375,554.2727
0.19,0.165,0.64,1.2792500000000002,0.0482134284976706,0.1410887415334759,7.469807188478533,5.66,339.8992
0.165,0.19,0.64,1.2792500000000002,0.0482134284976706,0.1414246400030772,7.469807188478533,5.635,337.24063
1.0,0.0,0.0,1.35,0.0,0.0,-0.0,11.0,109.45237
0.0,1.0,0.0,1.35,0.0,0.0,-0.0,10.0,90.92478
0.0,0.0,1.0,1.25,0.0,0.0,-0.0,3.0,427.12402
